recipe_id,branch_id,type,sort_order,stage_from,stage_to,input_stone_id,input_stone_name,input_item_id,input_item_name,output_stone_id,output_stone_name,story,review_title,review_url
recipe_basic_gray,basic,0,0,0,0,,,,,basic_gray,探索型小石,牠是最普通、也最有可能性的小石，身上還沒有長出明確的方向。每一次逛攤位、問問題或認識新朋友，都可能讓牠展開一條潛力無窮的路。,,
recipe_basic_blue,basic,3,1,0,0,,,,,basic_blue,工程型小石,牠體內藏著潛力無窮的工程能量，還沒有固定成任何工具或系統。只要遇到問題，牠就會安靜觀察，準備把混亂拆成可以一步一步解開的形狀。,,
recipe_basic_purple,basic,2,2,0,0,,,,,basic_purple,共鳴型小石,牠是一顆潛力無窮的小石，還在等待遇見能一起發聲的夥伴。每一次分享、傾聽和互相幫忙，都可能讓牠長出新的連結方式。,,
recipe_basic_orange,basic,4,3,0,0,,,,,basic_orange,娛樂型小石,牠帶著潛力無窮的舞台感，還不知道自己會成為表演者、主持人，還是點亮氣氛的人。只要有人願意參與，牠就會把笑聲、勇氣和回憶收進身上。,,
recipe_basic_yellow,basic,1,4,0,0,,,,,basic_yellow,靈光型小石,牠閃著一點點還沒成形的靈光，像一顆潛力無窮的想法種子。當問題還沒有答案時，牠會先亮起來，提醒大家下一個入口可能就在附近。,,
recipe_explore_2022_maze_s1_s2,branch_2022_maze,0,5,1,2,stone_explorer_base,探索型小石,item_maze_map,迷宮地圖,stone_2022_maze,2022 迷宮小石,人生的技能樹選擇，就像迷宮裡的不同叉路。迷宮小石有時像 DFS 一樣，選定一條路就深入嘗試；有時也像 BFS 一樣，先廣泛探索各種可能。每個人的走法都不一樣，但只要持續探索，就能慢慢找出自己的出口。,SITCON 2022 Cat in a Maze,https://sitcon.org/2022/
recipe_explore_2022_maze_s2_s3,branch_2022_maze,0,6,2,3,stone_2022_maze,2022 迷宮小石,item_cat_paw_print,貓掌印,stone_2022_break_wall_cat,2022 破牆貓小石,在劇烈動盪時代下的學生們在面對未來的生涯發展時，猶如一隻無法逃避、勢必得進入體制這一迷宮的老鼠。但是⋯⋯我們真的只能當老鼠嗎？不如，像貓咪一樣思考？或許能直接破壞迷宮離開。。,SITCON 2022 Cat in a Maze,https://sitcon.org/2022/
recipe_explore_2026_backpack_s1_s2,branch_2026_camp,0,7,1,2,stone_explorer_base,探索型小石,item_adventure_backpack,冒險背包,stone_camp_backpack,營地背包小石,牠把貼紙、名牌、備用線材都塞進包包，準備在 2026 營隊裡探索下一個任務。但是包包有點重>_<,從文組轉生成年會總召 ft. 社群新手跳坑指北,https://sitcon.org/2026/agenda/5ff864/
recipe_explore_2026_camp_s2_s3,branch_2026_camp,0,8,2,3,stone_camp_backpack,營地背包小石,item_mission_map,任務地圖,stone_2026_camp_explorer,2026 營地探險小石,牠在課程、題目、隊輔任務和交流時間之間積極活動，慢慢把營隊走成一張自己的地圖。牠不只是完成任務，也種下一棵棵名為好奇心的樹苗。,SITCON 2026 議程表,https://sitcon.org/2026/agenda/
recipe_explore_2024_booth_s1_s2,branch_2024_star_village,0,9,1,2,stone_explorer_base,探索型小石,item_booth_sticker,攤位貼紙,stone_booth,攤位小石,身上貼滿各個社群攤位的貼紙，每張都代表一次開口問問題的勇氣。貼紙越多，牠越像一本會走路的社群地圖。,開源星手村議程,https://sitcon.org/2024/agenda/5b0c91/
recipe_explore_2024_star_village_s2_s3,branch_2024_star_village,0,10,2,3,stone_booth,攤位小石,item_star_village_signpost,星手村路標,stone_star_village_guide,星手村嚮導小石,牠是開放原始碼宇宙裡的引路者，專門陪伴第一次接觸開源的人，找到有趣又適合開始的入口。牠讓開源貢獻不再像遙不可及的理想，而是可以一步步理解、靠近、參與的旅程。,開源星手村議程,https://sitcon.org/2024/agenda/5b0c91/
recipe_explore_2019_blackbox_s1_s2,branch_2019_blackbox,0,11,1,2,stone_explorer_base,探索型小石,item_black_box_sticker,黑箱貼紙,stone_2019_blackbox,2019 黑箱小石,小石撿到一個神祕箱子，裡面裝著看似會自己決定一切的演算法。牠決定先不要害怕，而是把箱子慢慢打開。,SITCON 2019 開箱演算法,https://sitcon.org/2019/
recipe_explore_2019_algorithm_s2_s3,branch_2019_blackbox,0,12,2,3,stone_2019_blackbox,2019 黑箱小石,item_toolbox_key,工具箱鑰匙,stone_2019_unboxed_algorithm,2019 開箱演算法小石,黑箱小石撿到神祕演算法箱，決定勇敢開箱：拆解支配生活的黑箱，也開始研究各種開源社群版本，理解原理、看見應用。,SITCON 2019 開箱演算法,https://sitcon.org/2019/
recipe_inspiration_2021_abacus_s1_s2,branch_2021_abacus,1,13,1,2,stone_inspiration_base,靈光型小石,item_wooden_abacus,木製算珠,stone_2021_abacus,2021 算盤小石,牠把一顆顆算珠推來推去，像是在摸索計算機最早的影子。每一次撥動，都是現代技術往前疊起來的一小步。,SITCON 2021 算盤的後裔,https://sitcon.org/2021/
recipe_inspiration_2021_abacus_s2_s3,branch_2021_abacus,1,14,2,3,stone_2021_abacus,2021 算盤小石,item_predecessor_notes,前人筆記,stone_2021_abacus_descendant,2021 算盤後裔小石,牠站在前人留下的筆記上，看見工具如何一代一代變成今天的電腦。牠知道自己不是從零開始，所以更願意把學到的東西留下來。,SITCON 2021 算盤的後裔,https://sitcon.org/2021/
recipe_inspiration_prompt_s1_s2,branch_prompt_human_after_all,1,15,1,2,stone_inspiration_base,靈光型小石,item_prompt_card,Prompt 卡,stone_prompt,Prompt 小石,牠發現同一個問題，換個問法就會長出不同答案。於是牠開始練習把模糊的想法，變成可以被討論的句子。,AI 時代未來人才議程,https://sitcon.org/2024/agenda/92fe91/
recipe_inspiration_human_after_all_s2_s3,branch_prompt_human_after_all,1,16,2,3,stone_prompt,Prompt 小石,item_human_label,人類標籤,stone_human_after_all,Human After All 小石,牠看著 AI 產生的答案，開始思考人類到底該負責哪一部分。最後牠把答案收起來，先問了一個更好的問題。,Human After All 論壇,https://sitcon.org/2024/agenda/439688/
recipe_inspiration_sticky_note_s1_s2,branch_2024_notes,1,17,1,2,stone_inspiration_base,靈光型小石,item_sticky_note,便利貼,stone_sticky_note,便利貼小石,牠把課堂上聽到的關鍵字貼得到處都是，連自己頭上也沒有放過。雖然版面有點亂，但每張便利貼都抓住了一個剛冒出來的念頭。,SITCON 2024 議程表,https://sitcon.org/2024/agenda/
recipe_inspiration_shared_notes_s2_s3,branch_2024_notes,1,18,2,3,stone_sticky_note,便利貼小石,item_shared_notes_link,共筆連結,stone_course_shared_notes,課程共筆小石,牠把自己的筆記接到大家的共筆裡，讓孤單的理解變成共同的記憶。有人補了一行說明，牠就多亮一點。,SITCON 2024 議程表,https://sitcon.org/2024/agenda/
recipe_inspiration_2024_finite_s1_s2,branch_2024_finite_infinite,1,19,1,2,stone_inspiration_base,靈光型小石,item_finite_label,有限標籤,stone_2024_finite,2024 有限小石,牠知道時間、體力和注意力都有限，所以開始學會選擇真正重要的問題。限制沒有讓牠停下來，反而讓牠的思考更清楚。,SITCON 2024 有限與無限,https://sitcon.org/2024/
recipe_inspiration_2024_infinite_s2_s3,branch_2024_finite_infinite,1,20,2,3,stone_2024_finite,2024 有限小石,item_infinite_star_map,無限星圖,stone_2024_infinite_inspiration,2024 無限靈感小石,牠在有限的營隊時間裡，收集到超過預期的想法。牠發現無限不是什麼都做，而是讓一個問題延伸到下一個人手上。,SITCON 2024 有限與無限,https://sitcon.org/2024/
recipe_resonance_2024_community_handshake_s1_s2,branch_2024_star_village_exchange,2,21,1,2,basic_purple,共鳴型小石,item_student_community_card,學生社群卡,stone_community_handshake,社群握手小石,牠第一次伸手時有點緊張，但對方也剛好想認識新朋友。兩隻手碰在一起，小隊基地就多了一段可以回看的連結。,開源星手村議程,https://sitcon.org/2024/agenda/5b0c91/
recipe_resonance_2024_star_village_exchange_s2_s3,branch_2024_star_village_exchange,2,22,2,3,stone_community_handshake,社群握手小石,item_star_village_badge,星手村徽章,stone_star_village_exchange,星手村交流小石,牠把不同學生社群的故事排成一張地圖，最後沒有真正分出誰比較厲害。因為每一場交流結束後，大家都多帶走了一點經驗。,開源星手村議程,https://sitcon.org/2024/agenda/5b0c91/
recipe_resonance_consensus_draft_s1_s2,branch_student_autonomy,2,23,1,2,basic_purple,共鳴型小石,item_charter_draft,章程草稿,stone_consensus_draft,共識草稿小石,牠把大家七嘴八舌的意見整理成一份還能修改的草稿。每個人都留下一點痕跡，規則才不只是某個人的決定。,社團經營不再靠通靈：SITCON 教你用開源思維升級領導技能,https://sitcon.org/2026/agenda/aef34b/
recipe_resonance_student_autonomy_s2_s3,branch_student_autonomy,2,24,2,3,stone_consensus_draft,共識草稿小石,item_transparent_proposal,透明提案,stone_student_autonomy,學生自治小石,牠開始想像學生自治也能被公開討論、共同維護。每一次投票或提案，都像把社群往透明的方向推一點。,社團經營不再靠通靈：SITCON 教你用開源思維升級領導技能,https://sitcon.org/2026/agenda/aef34b/
recipe_resonance_contribution_s1_s2,branch_open_source_route,2,25,1,2,basic_purple,共鳴型小石,item_contribution_sticker,貢獻貼紙,stone_contribution,貢獻小石,牠第一次送出貢獻時，只改了一個小地方。可是有人說謝謝之後，牠發現開源不是距離很遠的大事。,開源社群探險議程,https://sitcon.org/2024/agenda/e58595/
recipe_resonance_open_source_route_s2_s3,branch_open_source_route,2,26,2,3,stone_contribution,貢獻小石,item_open_source_roadmap,開源路線圖,stone_open_source_route,Open Source 路線小石,牠沿著 issue、commit、review 一路往前走，慢慢看懂社群如何協作。路線不一定直，但每一步都有人可以一起走。,開源社群探險議程,https://sitcon.org/2024/agenda/e58595/
recipe_resonance_2020_tour_flag_s1_s2,branch_2020_tour_group,2,27,1,2,basic_purple,共鳴型小石,item_tour_flag,導遊旗,stone_2020_tour_flag,2020 導遊旗小石,牠舉起小旗子，帶第一次參加 SITCON 的人認識年會攤位和工作人員。總會讓人想開口問問題。,SITCON 2020,https://sitcon.org/2020/
recipe_resonance_2020_tour_group_s2_s3,branch_2020_tour_group,2,28,2,3,stone_2020_tour_flag,2020 導遊旗小石,item_venue_route,會場路線,stone_2020_sitcon_tour_group,2020 SITCON 導遊團小石,牠把一群陌生人帶成一小隊，從攤位走到議程，再走到新的朋友身邊。導覽結束後，大家手上多了地圖，心裡也多了方向。,SITCON 2020,https://sitcon.org/2020/
recipe_engineering_docker_s1_s2,branch_kubernetes_devops_sre,3,29,1,2,basic_blue,工程型小石,item_container_sticker,容器貼紙,stone_docker,Docker 小石,牠把環境裝進小小的容器裡，終於不用再說「我這邊可以跑」。每次啟動成功，牠都會安心地點一下頭。,SITCON 2024 Kubernetes、DevOps 和 SRE,https://sitcon.org/2024/agenda/2de5e9/
recipe_engineering_kubernetes_s2_s3,branch_kubernetes_devops_sre,3,30,2,3,stone_docker,Docker 小石,item_cluster_core,叢集核心,stone_kubernetes,Kubernetes 小石,小石學會開始管理一整群忙碌的小服務。混亂沒有消失，但牠學會讓混亂有秩序地運轉。,SITCON 2024 Kubernetes、DevOps 和 SRE,https://sitcon.org/2024/agenda/2de5e9/
recipe_engineering_gpg_s1_s2,branch_gpg_crypto_gatekeeper,3,31,1,2,basic_blue,工程型小石,item_public_key_tag,公鑰吊牌,stone_gpg,GPG 小石,牠把訊息封進信封前，先確認鑰匙是不是交到對的人手上。安全不是神祕咒語，而是一連串可以被驗證的動作。,GPG 議程,https://sitcon.org/2024/agenda/3cdcb1/
recipe_engineering_crypto_gatekeeper_s2_s3,branch_gpg_crypto_gatekeeper,3,32,2,3,stone_gpg,GPG 小石,item_signature_inkpad,簽章印泥,stone_crypto_gatekeeper,加密守門員小石,牠站在資料門口，一邊檢查簽章，一邊提醒大家不要把信任交給直覺。每一次驗證，都是替社群多守住一點安心。,GPG 議程,https://sitcon.org/2024/agenda/3cdcb1/
recipe_engineering_test_s1_s2,branch_test_clean_code,3,33,1,2,basic_blue,工程型小石,item_test_sticker,測試貼紙,stone_test,測試小石,牠在每次改動前都先放下一個小小測試，像替未來的自己留路標。失敗的紅燈不會讓牠沮喪，只會告訴牠問題在哪裡。,寫測試議程,https://sitcon.org/2024/agenda/d000a0/
recipe_engineering_clean_code_s2_s3,branch_test_clean_code,3,34,2,3,stone_test,測試小石,item_clean_spec,整潔規格書,stone_clean_code,Clean Code 小石,小石把寫好的專案整理成別人也看得懂的樣子。程式碼變乾淨之後，下一個接手的人終於鬆了一口氣。,Clean Code 議程,https://sitcon.org/2024/agenda/02dc3b/
recipe_engineering_terminal_s1_s2,branch_terminal_system_intern,3,35,1,2,basic_blue,工程型小石,item_terminal_cursor,終端機游標,stone_terminal,終端機小石,小石鼓起勇氣打開 CLI，發現命令列沒有想像中遙遠；每敲完一行指令，都讓牠更理解電腦，也更能掌控它。,十倍開發！解脫雙手拋棄滑鼠的開發環境,https://sitcon.org/2026/agenda/c1d927/
recipe_engineering_system_intern_s2_s3,branch_terminal_system_intern,3,36,2,3,stone_terminal,終端機小石,item_system_docs,系統文件,stone_system_intern,系統實習小石,牠從文件、原始碼和社群對話中學會真正的實習不是只完成任務。它更像走進一個系統，理解它如何被很多人一起維護。,上線是起點：觀測×重構×擴充的系統迭代術,https://sitcon.org/2026/agenda/d06ebf/
